store,address,phone,address2,지역 시/군/구
수원병무청점,경기 수원시 팔달구 고화로 129 (화서동58-3외1필지) 동원블루밍101동 201호,1577-9621 소프트크림 판매점,경기도 수원시 팔달구 고화로 129 (화서동58-3외1필지) 동원블루밍101동 201호,수원시 팔달구
안산와동타운점,"경기 안산시 단원구 화정천동로1길 6, 1층",1577-9621,"경기도 안산시 단원구 화정천동로1길 6, 1층",안산시단원구
화성이화점,경기 화성시 우정읍 매화길 3,1577-9621,경기도 화성시 우정읍 매화길 3,화성시
평택원정점,경기 평택시 포승읍 평택항로 492,1577-9621 소프트크림 판매점,경기도 평택시 포승읍 평택항로 492,평택시
포천동교점,경기 포천시 원동교길 157,1577-9621,경기도 포천시 원동교길 157,포천시
SH동삭점,경기 평택시 동삭로 386,1577-9621,경기도 평택시 동삭로 386,평택시
정왕세일점,"경기 시흥시 정왕대로337번안길 2, 1층",1577-9621 소프트크림 판매점,"경기도 시흥시 정왕대로337번안길 2, 1층",시흥시
새꽃마을점,경기 파주시 새꽃로 35,1577-9621,경기도 파주시 새꽃로 35,파주시
화성시청점,"경기 화성시 남양읍 남양로 695, 1층 106,107호",1577-9621,"경기도 화성시 남양읍 남양로 695, 1층 106,107호",화성시
정왕원룸점,"경기 시흥시 오동마을로5번길 25, 1층",1577-9621 소프트크림 판매점,"경기도 시흥시 오동마을로5번길 25, 1층",시흥시
시흥하늘휴게소점,경기 시흥시 서울외곽순환고속도로 105-1 시흥본선상공형휴게소 일산방향,1577-9621,경기도 시흥시 서울외곽순환고속도로 105-1 시흥본선상공형휴게소 일산방향,시흥시
의정부용로점,경기 의정부시 부용로203번길 28,1577-9621 소프트크림 판매점,경기도 의정부시 부용로203번길 28,의정부시
율정8단지점,"경기 양주시 옥정동로 258 옥정천년나무 8단지 제상가동 103호,104호",1577-9621,"경기도 양주시 옥정동로 258 옥정천년나무 8단지 제상가동 103호,104호",양주시
오산센터점,경기 오산시 원동로7번길 34,1577-9621 소프트크림 판매점,경기도 오산시 원동로7번길 34,오산시
화성삼신점,"경기 화성시 화산중앙로64번길 3 삼신빌딩 1층 (106호,107호)",1577-9621,"경기도 화성시 화산중앙로64번길 3 삼신빌딩 1층 (106호,107호)",화성시
이천마장점,경기 이천시 마장면 서이천로 83,1577-9621 소프트크림 판매점,경기도 이천시 마장면 서이천로 83,이천시
수원성균관대점,"경기 수원시 장안구 화산로233번길 42, 1층",1577-9621 소프트크림 판매점,"경기도 수원시 장안구 화산로233번길 42, 1층",수원시 장안구
정왕드림시티점,경기 시흥시 역전로 300 101호,1577-9621 소프트크림 판매점,경기도 시흥시 역전로 300 101호,시흥시
광주능평점,경기 광주시 오포읍 대명대길 8,1577-9621,경기도 광주시 오포읍 대명대길 8,광주시
부천파크리움점,"경기 부천시 중동로248번길 45, 센트럴파크리움 1층 108호",1577-9621,"경기도 부천시 중동로248번길 45, 센트럴파크리움 1층 108호",부천시
안산시티점,"경기 안산시 단원구 당곡로 33, 상가동 117,118호",1577-9621 소프트크림 판매점,"경기도 안산시 단원구 당곡로 33, 상가동 117,118호",안산시단원구
남양주삼신점,경기 남양주시 진접읍 봉현로36번길 21,1577-9621,경기도 남양주시 진접읍 봉현로36번길 21,남양주시
경동해피점,"경기 수원시 영통구 에듀타운로 108 경동해피리움오피스텔 상가 113,114호",1577-9621,"경기도 수원시 영통구 에듀타운로 108 경동해피리움오피스텔 상가 113,114호",수원시 영통구
기흥구청점,경기 용인시 기흥구 구갈로72번길 14-1 서안빌딩 1층 102호,1577-9621 소프트크림 판매점,경기도 용인시 기흥구 구갈로72번길 14-1 서안빌딩 1층 102호,용인시기흥구
교하빌리지점,경기 파주시 구절초길 37,1577-9621,경기도 파주시 구절초길 37,파주시
어연산단점,경기 평택시 청북읍 청북산단로 50,1577-9621 소프트크림 판매점,경기도 평택시 청북읍 청북산단로 50,평택시
수원여대인제점,경기 수원시 권선구 온정로 72,1577-9621,경기도 수원시 권선구 온정로 72,수원시 권선구
안산패션타운점,"경기 안산시 상록구 천문3길 11, 1층",1577-9621 소프트크림 판매점,"경기도 안산시 상록구 천문3길 11, 1층",안산시상록구
수원여대해란점,경기 화성시 봉담읍 주석로 1098,1577-9621,경기도 화성시 봉담읍 주석로 1098,화성시
평택용이대로점,경기 평택시 현신3길 6,1577-9621 소프트크림 판매점,경기도 평택시 현신3길 6,평택시
별내용암천점,"경기 남양주시 별내3로 161 별사랑마을 2-7단지 상가동 102,103,104호",1577-9621 소프트크림 판매점,"경기도 남양주시 별내3로 161 별사랑마을 2-7단지 상가동 102,103,104호",남양주시
용인영화점,"경기 용인시 처인구 경안천로256번길 47-12 임원마을 아파트 제상가동 101호,102호",1577-9621,"경기도 용인시 처인구 경안천로256번길 47-12 임원마을 아파트 제상가동 101호,102호",용인시처인구
양주옥정점,"경기 양주시 옥정동로 257, 율정마을 7단지 제상가동 106,107,108호",1577-9621 소프트크림 판매점,"경기도 양주시 옥정동로 257, 율정마을 7단지 제상가동 106,107,108호",양주시
광주노곡점,경기 광주시 도척면 도척윗로 290-7,1577-9621,경기도 광주시 도척면 도척윗로 290-7,광주시
시흥하나점,"경기 시흥시 삼미시장4길 17, 1층",1577-9621,"경기도 시흥시 삼미시장4길 17, 1층",시흥시
김포학운점,경기 김포시 양촌읍 황금로109번길 80,1577-9621 소프트크림 판매점,경기도 김포시 양촌읍 황금로109번길 80,김포시
수원3공단점,경기 수원시 권선구 산업로156번길 201,1577-9621 소프트크림 판매점,경기도 수원시 권선구 산업로156번길 201,수원시 권선구
시흥봉우재로점,"경기 시흥시 봉우재로36번길 8, 1층",1577-9621,"경기도 시흥시 봉우재로36번길 8, 1층",시흥시
일죽IC점,"경기 안성시 일죽면 내둔길 40, 나동",1577-9621,"경기도 안성시 일죽면 내둔길 40, 나동",안성시
동탄골드점,"경기 화성시 동탄하나1길 47-3, 103, 104, 105호",1577-9621,"경기도 화성시 동탄하나1길 47-3, 103, 104, 105호",화성시
안산시낭북로점,"경기 안산시 상록구 시낭북로4길 11, 1층",1577-9621 소프트크림 판매점,"경기도 안산시 상록구 시낭북로4길 11, 1층",안산시상록구
식사블루밍점,"경기 고양시 일산동구 위시티3로 73, 1층",1577-9621 소프트크림 판매점,"경기도 고양시 일산동구 위시티3로 73, 1층",안산시상록구
안산황금점,경기 안산시 단원구 보화로 10,1577-9621 소프트크림 판매점,경기도 안산시 단원구 보화로 10,안산시단원구
향남부영점,경기 화성시 향남읍 하길로 70 부영 10단지 상가 101,1577-9621 소프트크림 판매점,경기도 화성시 향남읍 하길로 70 부영 10단지 상가 101,화성시
와동스타점,경기 안산시 단원구 와동로 42,1577-9621 소프트크림 판매점,경기도 안산시 단원구 와동로 42,안산시단원구
봉담센터점,"경기 화성시 봉담읍 동화길 93-6, 제1층 제 104,105호",1577-9621,"경기도 화성시 봉담읍 동화길 93-6, 제1층 제 104,105호",화성시
수원능실점,"경기 수원시 권선구 호매실로166번길 63, 101호,102호",1577-9621,"경기도 수원시 권선구 호매실로166번길 63, 101호,102호",수원시 권선구
평택물류단지점,경기 평택시 도일유통길 21-1,1577-9621,경기도 평택시 도일유통길 21-1,평택시
시흥제일점,"경기 시흥시 정왕천로375번길 4-11, 1층",1577-9621,"경기도 시흥시 정왕천로375번길 4-11, 1층",시흥시
용인상하점,"경기 용인시 기흥구 중부대로747번길 17,1층",1577-9621,"경기도 용인시 기흥구 중부대로747번길 17,1층",용인시기흥구
청평청구점,경기 가평군 청평면 경춘로 819-21,1577-9621,경기도 가평군 청평면 경춘로 819-21,가평군
호평루첸점,"경기 남양주시 천마산로 25 호평동대명루첸아파트 상가동 109호, 110호",1577-9621 소프트크림 판매점,"경기도 남양주시 천마산로 25 호평동대명루첸아파트 상가동 109호, 110호",남양주시
안산송호점,경기 안산시 상록구 송호1길 53,1577-9621,경기도 안산시 상록구 송호1길 53,안산시상록구
일산웨스턴점,"경기 고양시 일산동구 정발산로 23, 102호, 103호",1577-9621 소프트크림 판매점,"경기도 고양시 일산동구 정발산로 23, 102호, 103호",안산시상록구
사강터미널점,경기 화성시 송산면 송산포도로 104,1577-9621,경기도 화성시 송산면 송산포도로 104,화성시
월피센터점,"경기 안산시 상록구 예술광장로 7, 101호",1577-9621,"경기도 안산시 상록구 예술광장로 7, 101호",안산시상록구
정남대로점,경기 화성시 정남면 정남동로 170,1577-9621 소프트크림 판매점,경기도 화성시 정남면 정남동로 170,화성시
신천초교로점,"경기 시흥시 포도원로79번길 2, 102호, 103호",1577-9621,"경기도 시흥시 포도원로79번길 2, 102호, 103호",시흥시
수지신봉점,경기 용인시 수지구 신봉2로 60 웰스토시티앤애비뉴 2동 B116호,1577-9621 소프트크림 판매점,경기도 용인시 수지구 신봉2로 60 웰스토시티앤애비뉴 2동 B116호,용인시수지구
월곶중앙점,경기 시흥시 월곶중앙로 58,031-318-8222,경기도 시흥시 월곶중앙로 58,시흥시
화성남양점,경기도 화성시 남양읍 남양시장로66번길 2,1577-9621,경기도 화성시 남양읍 남양시장로66번길 2,화성시
송탄서해점,경기 평택시 점촌1로58번길 30 (서정동),1577-9621,경기도 평택시 점촌1로58번길 30 (서정동),평택시
오산점,"경기 오산시 운천로165번길 3,1층",1577-9621,"경기도 오산시 운천로165번길 3,1층",오산시
파주창만점,경기도 파주시 광탄면 만장산로 234,1577-9621,경기도 파주시 광탄면 만장산로 234,파주시
화성본점,경기도 화성시 정남면 서봉로 1006,1577-9621,경기도 화성시 정남면 서봉로 1006,화성시
군포삼성점,"경기 군포시 삼성로 41 상가동 제1층 101,102호",1577-9621,"경기도 군포시 삼성로 41 상가동 제1층 101,102호",군포시
의왕포일점,경기 의왕시 흥안대로456번길 122,1577-9621,경기도 의왕시 흥안대로456번길 122,의왕시
동탄뷰파크점,"경기 화성시 동탄원천로 382-37 상가2동 102,103호",1577-9621,"경기도 화성시 동탄원천로 382-37 상가2동 102,103호",화성시
심곡중앙점,경기 부천시 원미로17번길 43,1577-9621,경기도 부천시 원미로17번길 43,부천시
안성원곡점,경기 안성시 원곡면 가천중앙1길 59,031-657-7279,경기도 안성시 원곡면 가천중앙1길 59,안성시
안성미양점,경기 안성시 미양면 안성맞춤대로 368,1577-9621,경기도 안성시 미양면 안성맞춤대로 368,안성시
시흥과림점,경기 시흥시 금오로 485,02-2613-0065,경기도 시흥시 금오로 485,시흥시
삼성시티점,경기 화성시 삼성1로 160,031-613-8961,경기도 화성시 삼성1로 160,화성시
당정역점,"경기 군포시 군포역1길 186 상가1중코너(당동, 대흥아파트상가)",1577-9621,"경기도 군포시 군포역1길 186 상가1중코너(당동, 대흥아파트상가)",군포시
광명역점,경기 광명시 오리로985번길 8,02-2612-8643,경기도 광명시 오리로985번길 8,광명시
내손팬텀점,경기 의왕시 계원대학로 25,1577-9621,경기도 의왕시 계원대학로 25,의왕시
